file,attack_type,t_start,t_stop,duration_s
S01_normal_DC4,2,191.17,214.51,23.3499999999954
S01_normal_DC4,2,54.14,91.53,37.3999999999926
S01_normal_DC4,3,71.8,82.47,10.6799999999979
S01_normal_DC4,3,61.57,72.05,10.4899999999979
S01_normal_DC4,4,72.85,92.44,19.5999999999961
S01_normal_DC4,4,129.03,155.74,26.7199999999947
S01_normal_DC4,4,84.79,107.44,22.6599999999955
S01_normal_DC4,5,250.94,286.78,35.8499999999929
S01_normal_DC4,5,250.42,280.53,30.119999999994
S01_normal_DC4,5,153.91,179.89,25.9899999999948
S01_normal_DC5,1,170.57,209.8,39.2399999999922
S01_normal_DC5,1,136.33,165.79,29.4699999999941
S01_normal_DC5,1,228.57,240,11.4399999999977
S01_normal_DC5,1,183.69,210.59,26.9099999999946
S01_normal_DC5,2,280.44,296.15,15.7199999999969
S01_normal_DC5,2,125.98,157.06,31.0899999999938
S01_normal_DC5,3,129.5,143.84,14.3499999999971
S01_normal_DC5,3,113.41,150.35,36.9499999999926
S01_normal_DC5,3,128.93,139.09,10.169999999998
S01_normal_DC5,4,81.64,92.49,10.8599999999978
S01_normal_DC5,4,76.18,112.96,36.7899999999927
S01_normal_DC5,4,135.17,158.24,23.0799999999954
S01_normal_DC5,4,50.22,86.8,36.5899999999927
S01_normal_DC5,5,84.01,106.4,22.3999999999955
S01_normal_DC5,5,88.82,114.38,25.5699999999949
S01_normal_DC5,5,157.06,179.95,22.8999999999954
S01_normal_DC5,5,148.89,171.53,22.6499999999955
S01_normal_DC6,1,188.67,217.27,28.6099999999943
S01_normal_DC6,1,190.74,216.49,25.7599999999949
S01_normal_DC6,1,171.24,197.84,26.6099999999947
S01_normal_DC6,2,178.48,200.56,22.0899999999956
S01_normal_DC6,2,227.45,239.68,12.2399999999976
S01_normal_DC6,2,255.02,294.12,39.1099999999922
S01_normal_DC6,3,232.96,270.52,37.5699999999925
S01_normal_DC6,3,158.74,170.87,12.1399999999976
S01_normal_DC6,3,218.2,231.83,13.6399999999973
S01_normal_DC6,3,182.38,210.71,28.3399999999944
S01_normal_DC6,4,150.29,159.12,8.83999999999824
S01_normal_DC6,4,68.96,85.6,16.6499999999967
S01_normal_DC6,5,35.34,44.31,8.97999999999821
S01_normal_DC6,5,179.24,203.52,24.2899999999952
S01_normal_DC6,5,146.05,166.33,20.289999999996
S02_fault_100ms_DC1,1,82.73,112.87,30.149999999994
S02_fault_100ms_DC1,1,45.12,55.31,10.199999999998
S02_fault_100ms_DC1,1,54.62,69.81,15.199999999997
S02_fault_100ms_DC1,2,92.2,115.12,22.9299999999954
S02_fault_100ms_DC1,2,195.62,233.24,37.6299999999925
S02_fault_100ms_DC1,3,136.13,175.83,39.7099999999921
S02_fault_100ms_DC1,3,262.59,278.62,16.0399999999968
S02_fault_100ms_DC1,3,197.13,234.14,37.0199999999926
S02_fault_100ms_DC1,3,117.66,147.42,29.7699999999941
S02_fault_100ms_DC1,4,65.35,78.26,12.9199999999974
S02_fault_100ms_DC1,4,121.1,144.27,23.1799999999954
S02_fault_100ms_DC1,4,157.76,192.17,34.4199999999932
S02_fault_100ms_DC1,5,96.69,131.62,34.939999999993
S02_fault_100ms_DC1,5,165.51,177.85,12.3499999999975
S02_fault_100ms_DC1,5,260.15,297.46,37.3199999999926
S02_fault_100ms_DC1,5,263.3,285.79,22.4999999999955
S02_fault_100ms_DC2,1,82.84,103.88,21.0499999999958
S02_fault_100ms_DC2,1,210.96,232.02,21.0699999999958
S02_fault_100ms_DC2,2,266.15,278.92,12.7799999999975
S02_fault_100ms_DC2,2,47.26,56.81,9.5599999999981
S02_fault_100ms_DC2,3,264.08,287.18,23.1099999999954
S02_fault_100ms_DC2,3,178.86,198.34,19.4899999999961
S02_fault_100ms_DC2,3,30.37,60.29,29.929999999994
S02_fault_100ms_DC2,4,171.72,186.53,14.8199999999971
S02_fault_100ms_DC2,4,219.09,229.15,10.069999999998
S02_fault_100ms_DC2,4,51.63,70.28,18.6599999999963
S02_fault_100ms_DC2,4,219.46,241.23,21.7799999999957
S02_fault_100ms_DC2,5,67.09,77.04,9.95999999999802
S02_fault_100ms_DC2,5,24.21,39.92,15.7199999999969
S02_fault_100ms_DC3,1,217.73,246.2,28.4799999999943
S02_fault_100ms_DC3,1,246.64,278.2,31.5699999999937
S02_fault_100ms_DC3,2,100.26,109.25,8.99999999999821
S02_fault_100ms_DC3,2,53.95,75.39,21.4499999999957
S02_fault_100ms_DC3,3,33.91,65.83,31.9299999999936
S02_fault_100ms_DC3,3,138.62,176.32,37.7099999999925
S02_fault_100ms_DC3,3,36.41,63.25,26.8499999999947
S02_fault_100ms_DC3,3,235.59,246.41,10.8299999999978
S02_fault_100ms_DC3,4,241.86,278.97,37.1199999999926
S02_fault_100ms_DC3,4,87.14,118.95,31.8199999999937
S02_fault_100ms_DC3,4,267.38,278.63,11.2599999999978
S02_fault_100ms_DC3,5,122.55,142.65,20.109999999996
S02_fault_100ms_DC3,5,273.28,284.58,11.3099999999977
S02_fault_100ms_DC4,1,139.93,150.64,10.7199999999979
S02_fault_100ms_DC4,1,167.64,177.65,10.019999999998
S02_fault_100ms_DC4,1,101.89,133.28,31.3999999999938
S02_fault_100ms_DC4,2,162.19,199.05,36.8699999999927
S02_fault_100ms_DC4,2,274.76,286.9,12.1499999999976
S02_fault_100ms_DC4,3,242.06,269.62,27.5699999999945
S02_fault_100ms_DC4,3,105.35,123.14,17.7999999999965
S02_fault_100ms_DC4,3,210.85,246.72,35.8799999999929
S02_fault_100ms_DC4,4,216.19,255.91,39.7299999999921
S02_fault_100ms_DC4,4,20.66,49.4,28.7499999999943
S02_fault_100ms_DC4,5,126.49,146.74,20.259999999996
S02_fault_100ms_DC4,5,22.9,59.21,36.3199999999928
S02_fault_100ms_DC5,1,121.37,133.09,11.7299999999977
S02_fault_100ms_DC5,1,123.15,155.8,32.6599999999935
S02_fault_100ms_DC5,1,171.77,203.78,32.0199999999936
S02_fault_100ms_DC5,1,167.55,192.29,24.7499999999951
S02_fault_100ms_DC5,2,20.81,58.12,37.3199999999926
S02_fault_100ms_DC5,2,165.31,184.53,19.2299999999962
S02_fault_100ms_DC5,2,255.65,272.59,16.9499999999966
S02_fault_100ms_DC5,2,37,63.4,26.4099999999947
S02_fault_100ms_DC5,3,233.52,272.67,39.1599999999922
S02_fault_100ms_DC5,3,51.27,72.64,21.3799999999957
S02_fault_100ms_DC5,3,89.87,125.05,35.189999999993
S02_fault_100ms_DC5,4,99.48,139.17,39.6999999999921
S02_fault_100ms_DC5,4,248.47,285.82,37.3599999999926
S02_fault_100ms_DC5,5,254.28,266.59,12.3199999999975
S02_fault_100ms_DC5,5,64.76,101.05,36.2999999999928
S02_fault_100ms_DC5,5,260.38,277.36,16.9899999999966
S02_fault_100ms_DC6,1,116.87,153.59,36.7299999999927
S02_fault_100ms_DC6,1,56.76,82.86,26.1099999999948
S02_fault_100ms_DC6,1,55.34,85.31,29.979999999994
S02_fault_100ms_DC6,1,171.06,210.26,39.2099999999922
S02_fault_100ms_DC6,2,120.73,133.35,12.6299999999975
S02_fault_100ms_DC6,2,76.83,109.87,33.0499999999934
S02_fault_100ms_DC6,3,59.98,71.07,11.0999999999978
S02_fault_100ms_DC6,3,179.95,202,22.0599999999956
S02_fault_100ms_DC6,3,61.67,90.73,29.0699999999942
S02_fault_100ms_DC6,4,170.45,194.02,23.5799999999953
S02_fault_100ms_DC6,4,188.5,200.01,11.5199999999977
S02_fault_100ms_DC6,5,60.83,98.76,37.9399999999925
S02_fault_100ms_DC6,5,88.01,116.74,28.7399999999943
S02_fault_100ms_DC6,5,96.63,115.17,18.5499999999963
S03_fault_250ms_DC1,1,250.02,288.2,38.1899999999924
S03_fault_250ms_DC1,1,177.11,208.38,31.2799999999938
S03_fault_250ms_DC1,1,261.68,271.5,9.82999999999804
S03_fault_250ms_DC1,2,92.5,118.76,26.2699999999948
S03_fault_250ms_DC1,2,138.7,158.47,19.7799999999961
S03_fault_250ms_DC1,3,148.67,187,38.3399999999924
S03_fault_250ms_DC1,3,160.73,190.77,30.049999999994
S03_fault_250ms_DC1,3,239.65,260.92,21.2799999999958
S03_fault_250ms_DC1,4,240.27,264.42,24.1599999999952
S03_fault_250ms_DC1,4,249.22,284.08,34.8699999999931
S03_fault_250ms_DC1,4,33.22,60.4,27.1899999999946
S03_fault_250ms_DC1,5,113.39,144.16,30.7799999999939
S03_fault_250ms_DC1,5,271.29,297.18,25.8999999999948
S03_fault_250ms_DC1,5,172.67,205.87,33.2099999999934
S03_fault_250ms_DC2,1,229.41,256.19,26.7899999999947
S03_fault_250ms_DC2,1,192.61,209.42,16.8199999999967
S03_fault_250ms_DC2,1,277.82,294.34,16.5299999999967
S03_fault_250ms_DC2,1,144.24,153.39,9.15999999999818
S03_fault_250ms_DC2,2,47.52,59.64,12.1299999999976
S03_fault_250ms_DC2,2,47.49,79.87,32.3899999999936
S03_fault_250ms_DC2,3,167.57,186.8,19.2399999999962
S03_fault_250ms_DC2,3,187.49,216.3,28.8199999999943
S03_fault_250ms_DC2,3,141.31,159.72,18.4199999999963
S03_fault_250ms_DC2,3,234.31,251.93,17.6299999999965
S03_fault_250ms_DC2,4,133.25,159.12,25.8799999999949
S03_fault_250ms_DC2,4,237.12,271.81,34.6999999999931
S03_fault_250ms_DC2,4,274.45,292.1,17.6599999999965
S03_fault_250ms_DC2,4,50.13,87.98,37.8599999999925
S03_fault_250ms_DC2,5,175.91,210.57,34.6699999999931
S03_fault_250ms_DC2,5,203.28,220.54,17.2699999999966
S03_fault_250ms_DC2,5,187.92,200.72,12.8099999999975
S03_fault_250ms_DC2,5,26.45,50.1,23.6599999999953
S03_fault_250ms_DC3,1,204.19,219.66,15.4799999999969
S03_fault_250ms_DC3,1,105.99,138.33,32.3499999999936
S03_fault_250ms_DC3,2,124.09,160.24,36.1599999999928
S03_fault_250ms_DC3,2,95.76,110.32,14.5699999999971
S03_fault_250ms_DC3,3,134.53,143.83,9.30999999999815
S03_fault_250ms_DC3,3,160.32,184.86,24.5499999999951
S03_fault_250ms_DC3,4,129.85,164.44,34.5999999999931
S03_fault_250ms_DC3,4,224.06,235.52,11.4699999999977
S03_fault_250ms_DC3,4,44.76,79.99,35.239999999993
S03_fault_250ms_DC3,4,145.89,181.83,35.9499999999928
S03_fault_250ms_DC3,5,171.25,191.99,20.7499999999959
S03_fault_250ms_DC3,5,229.36,250.93,21.5799999999957
S03_fault_250ms_DC4,1,54.88,67.07,12.1999999999976
S03_fault_250ms_DC4,1,177.23,215.51,38.2899999999924
S03_fault_250ms_DC4,2,49.47,66.92,17.4599999999965
S03_fault_250ms_DC4,2,225.76,236.75,10.9999999999978
S03_fault_250ms_DC4,2,84.51,120.03,35.5299999999929
S03_fault_250ms_DC4,3,67.09,90.81,23.7299999999953
S03_fault_250ms_DC4,3,234.53,246.74,12.2199999999976
S03_fault_250ms_DC4,4,60.68,82.17,21.4999999999957
S03_fault_250ms_DC4,4,163.59,201.99,38.4099999999924
S03_fault_250ms_DC4,4,53.95,83.69,29.7499999999941
S03_fault_250ms_DC4,5,210.89,218.92,8.0399999999984
S03_fault_250ms_DC4,5,145.7,173.02,27.3299999999946
S03_fault_250ms_DC4,5,143.41,161.27,17.8699999999964
S03_fault_250ms_DC5,1,201.6,241.56,39.969999999992
S03_fault_250ms_DC5,1,91.87,110.56,18.6999999999963
S03_fault_250ms_DC5,1,50.06,62.86,12.8099999999975
S03_fault_250ms_DC5,1,121.88,156.6,34.7299999999931
S03_fault_250ms_DC5,2,99.41,115.18,15.7799999999969
S03_fault_250ms_DC5,2,76.18,110.96,34.7899999999931
S03_fault_250ms_DC5,3,82.13,105.87,23.7499999999953
S03_fault_250ms_DC5,3,131.57,164.7,33.1399999999934
S03_fault_250ms_DC5,3,148.41,160.59,12.1899999999976
S03_fault_250ms_DC5,4,35.92,56.64,20.7299999999959
S03_fault_250ms_DC5,4,52.65,89.34,36.6999999999927
S03_fault_250ms_DC5,5,109.84,143.46,33.6299999999933
S03_fault_250ms_DC5,5,210.16,230.78,20.6299999999959
S03_fault_250ms_DC6,1,248.8,277.64,28.8499999999943
S03_fault_250ms_DC6,1,206.92,239.05,32.1399999999936
S03_fault_250ms_DC6,1,228.49,246.86,18.3799999999963
S03_fault_250ms_DC6,2,100.61,126.5,25.8999999999948
S03_fault_250ms_DC6,2,94.89,116.9,22.0199999999956
S03_fault_250ms_DC6,2,42.77,65.35,22.5899999999955
S03_fault_250ms_DC6,2,249.48,273.52,24.0499999999952
S03_fault_250ms_DC6,3,47.53,74.83,27.3099999999946
S03_fault_250ms_DC6,3,86.42,115.27,28.8599999999943
S03_fault_250ms_DC6,4,240.34,254.74,14.4099999999971
S03_fault_250ms_DC6,4,113.24,127.31,14.0799999999972
S03_fault_250ms_DC6,4,42.82,70.76,27.9499999999944
S03_fault_250ms_DC6,4,152.66,172.99,20.339999999996
S03_fault_250ms_DC6,5,77.3,116.57,39.2799999999922
S03_fault_250ms_DC6,5,134.42,171.78,37.3699999999926
S04_line_trip_DC1,1,275.1,289.15,14.0599999999972
S04_line_trip_DC1,1,137.44,149.41,11.9799999999976
S04_line_trip_DC1,1,188.22,208.58,20.3699999999959
S04_line_trip_DC1,1,81.03,90.53,9.50999999999811
S04_line_trip_DC1,2,65.77,105.25,39.4899999999921
S04_line_trip_DC1,2,270.08,296.83,26.7599999999947
S04_line_trip_DC1,3,200.64,214.42,13.7899999999973
S04_line_trip_DC1,3,30.58,54.11,23.5399999999953
S04_line_trip_DC1,3,189.08,199.66,10.5899999999979
S04_line_trip_DC1,4,136.17,161.68,25.5199999999949
S04_line_trip_DC1,4,27.81,57.38,29.5799999999941
S04_line_trip_DC1,5,125.88,143.31,17.4399999999965
S04_line_trip_DC1,5,103.62,140.63,37.0199999999926
S04_line_trip_DC1,5,113.53,151.33,37.8099999999925
S04_line_trip_DC1,5,161.86,175.91,14.0599999999972
S04_line_trip_DC2,1,231.11,266.31,35.209999999993
S04_line_trip_DC2,1,197.61,235.56,37.9599999999924
S04_line_trip_DC2,1,275.41,292.97,17.5699999999965
S04_line_trip_DC2,2,171,179.16,8.16999999999837
S04_line_trip_DC2,2,28.52,58.05,29.5399999999941
S04_line_trip_DC2,3,229.24,240.11,10.8799999999978
S04_line_trip_DC2,3,185.27,202.85,17.5899999999965
S04_line_trip_DC2,3,155.63,187.36,31.7399999999937
S04_line_trip_DC2,4,151.15,174.45,23.3099999999954
S04_line_trip_DC2,4,252.62,288.12,35.5099999999929
S04_line_trip_DC2,5,150.12,185.63,35.5199999999929
S04_line_trip_DC2,5,287.82,299.4,11.5899999999977
S04_line_trip_DC2,5,100.81,123.34,22.5399999999955
S04_line_trip_DC3,1,205.51,239.6,34.0999999999932
S04_line_trip_DC3,1,80.15,96.18,16.0399999999968
S04_line_trip_DC3,1,140.89,170.17,29.2899999999942
S04_line_trip_DC3,2,130.58,145.46,14.889999999997
S04_line_trip_DC3,2,189.22,198.59,9.37999999999813
S04_line_trip_DC3,2,76.39,104.59,28.2099999999944
S04_line_trip_DC3,2,75.58,96.97,21.3999999999957
S04_line_trip_DC3,3,145.64,163.87,18.2399999999964
S04_line_trip_DC3,3,202.25,235.15,32.9099999999935
S04_line_trip_DC3,3,166.86,181.47,14.6199999999971
S04_line_trip_DC3,3,119.55,141.32,21.7799999999957
S04_line_trip_DC3,4,279.21,296.4,17.1999999999966
S04_line_trip_DC3,4,61.62,98.44,36.8299999999927
S04_line_trip_DC3,4,151.23,171.88,20.6599999999959
S04_line_trip_DC3,5,201.68,227.78,26.1099999999948
S04_line_trip_DC3,5,67.33,103.95,36.6299999999927
S04_line_trip_DC3,5,272.77,281.44,8.67999999999827
S04_line_trip_DC4,1,265.83,275.59,9.76999999999806
S04_line_trip_DC4,1,121.93,134.44,12.5199999999975
S04_line_trip_DC4,1,219.67,250.08,30.4199999999939
S04_line_trip_DC4,2,133.34,151.49,18.1599999999964
S04_line_trip_DC4,2,112.22,149.63,37.4199999999926
S04_line_trip_DC4,2,215.81,240.86,25.059999999995
S04_line_trip_DC4,2,260.99,269.77,8.78999999999825
S04_line_trip_DC4,3,112.17,138.59,26.4299999999947
S04_line_trip_DC4,3,91.68,108.67,16.9999999999966
S04_line_trip_DC4,3,196.52,222.35,25.8399999999949
S04_line_trip_DC4,3,223.39,241.06,17.6799999999965
S04_line_trip_DC4,4,147.44,171.65,24.2199999999952
S04_line_trip_DC4,4,126.64,143.73,17.0999999999966
S04_line_trip_DC4,4,232.56,260.84,28.2899999999944
S04_line_trip_DC4,5,172.81,201.85,29.0499999999942
S04_line_trip_DC4,5,195.71,210.01,14.3099999999972
S04_line_trip_DC4,5,49.78,63.68,13.9099999999972
S04_line_trip_DC4,5,220.7,236.93,16.2399999999968
S04_line_trip_DC5,1,267.04,277.11,10.079999999998
S04_line_trip_DC5,1,27.42,62.06,34.6499999999931
S04_line_trip_DC5,2,180.71,210.51,29.8099999999941
S04_line_trip_DC5,2,163.07,199.67,36.6099999999927
S04_line_trip_DC5,2,232.26,255.25,22.9999999999954
S04_line_trip_DC5,3,150.54,179.2,28.6699999999943
S04_line_trip_DC5,3,164.57,177.54,12.9799999999974
S04_line_trip_DC5,3,38.12,77.5,39.3899999999922
S04_line_trip_DC5,4,183.6,206.15,22.5599999999955
S04_line_trip_DC5,4,206.39,214.75,8.36999999999833
S04_line_trip_DC5,5,227.88,249.46,21.5899999999957
S04_line_trip_DC5,5,100.53,135.36,34.8399999999931
S04_line_trip_DC5,5,127.03,147.97,20.9499999999958
S04_line_trip_DC5,5,204.37,222.75,18.3899999999963
S04_line_trip_DC6,1,46.82,64.51,17.6999999999965
S04_line_trip_DC6,1,150.22,184.19,33.9799999999932
S04_line_trip_DC6,1,172.54,195.97,23.4399999999953
S04_line_trip_DC6,1,141.1,163.38,22.2899999999956
S04_line_trip_DC6,2,251.17,275.14,23.9799999999952
S04_line_trip_DC6,2,76.51,109.92,33.4199999999934
S04_line_trip_DC6,2,152.34,188.37,36.0399999999928
S04_line_trip_DC6,2,35.52,45.42,9.90999999999803
S04_line_trip_DC6,3,142.04,163.86,21.8299999999957
S04_line_trip_DC6,3,42.49,67.95,25.4699999999949
S04_line_trip_DC6,4,245.11,283.8,38.6999999999923
S04_line_trip_DC6,4,122.94,138.83,15.8999999999968
S04_line_trip_DC6,5,94.54,110.74,16.2099999999968
S04_line_trip_DC6,5,54.4,94.04,39.6499999999921
S04_line_trip_DC6,5,219.02,234.61,15.5999999999969
S05_load_step_DC1,1,220.57,230.88,10.3199999999979
S05_load_step_DC1,1,185.75,216.17,30.4299999999939
S05_load_step_DC1,1,161.17,188.41,27.2499999999946
S05_load_step_DC1,2,131.15,157.01,25.8699999999949
S05_load_step_DC1,2,231.17,265.03,33.8699999999933
S05_load_step_DC1,2,157.62,177.73,20.119999999996
S05_load_step_DC1,2,189.92,211.16,21.2499999999958
S05_load_step_DC1,3,108.07,135.5,27.4399999999945
S05_load_step_DC1,3,114.38,150.52,36.1499999999928
S05_load_step_DC1,4,88.96,124.36,35.409999999993
S05_load_step_DC1,4,131.33,151.07,19.7499999999961
S05_load_step_DC1,4,42.86,53.24,10.3899999999979
S05_load_step_DC1,5,76.65,91.49,14.849999999997
S05_load_step_DC1,5,82.46,105.7,23.2499999999954
S05_load_step_DC1,5,212.82,230.57,17.7599999999965
S05_load_step_DC2,1,213.89,232.8,18.9199999999962
S05_load_step_DC2,1,232.45,263.1,30.6599999999939
S05_load_step_DC2,1,111.29,131.15,19.869999999996
S05_load_step_DC2,2,84.98,112.66,27.6899999999945
S05_load_step_DC2,2,269.65,286.54,16.8999999999966
S05_load_step_DC2,2,215.55,241.48,25.9399999999948
S05_load_step_DC2,3,209.87,221.98,12.1199999999976
S05_load_step_DC2,3,53,92.38,39.3899999999922
S05_load_step_DC2,4,248.47,266.87,18.4099999999963
S05_load_step_DC2,4,152.72,170.76,18.0499999999964
S05_load_step_DC2,4,54.55,91.59,37.0499999999926
S05_load_step_DC2,4,237.13,261.7,24.5799999999951
S05_load_step_DC2,5,267.63,284.46,16.8399999999966
S05_load_step_DC2,5,89.14,103.2,14.0699999999972
S05_load_step_DC3,1,222.92,231.75,8.83999999999824
S05_load_step_DC3,1,99.16,108.37,9.21999999999817
S05_load_step_DC3,1,177.91,205.73,27.8299999999945
S05_load_step_DC3,1,86.07,118.16,32.0999999999936
S05_load_step_DC3,2,88.43,113.64,25.219999999995
S05_load_step_DC3,2,35.26,61.68,26.4299999999947
S05_load_step_DC3,2,152.54,164.25,11.7199999999977
S05_load_step_DC3,2,176.82,209.79,32.9799999999934
S05_load_step_DC3,3,222.01,253.64,31.6399999999937
S05_load_step_DC3,3,123.02,137.25,14.2399999999972
S05_load_step_DC3,3,246.18,260.13,13.9599999999972
S05_load_step_DC3,4,91.53,120.89,29.3699999999942
S05_load_step_DC3,4,66.71,79.78,13.0799999999974
S05_load_step_DC3,4,130.14,162.12,31.9899999999936
S05_load_step_DC3,4,183.04,221.4,38.3699999999924
S05_load_step_DC3,5,136.44,157.51,21.0799999999958
S05_load_step_DC3,5,80.5,104.74,24.2499999999952
S05_load_step_DC4,1,52.87,74.97,22.1099999999956
S05_load_step_DC4,1,181.91,205.96,24.0599999999952
S05_load_step_DC4,1,177.8,206.25,28.4599999999943
S05_load_step_DC4,2,171.61,208.37,36.7699999999927
S05_load_step_DC4,2,133.09,166.38,33.2999999999934
S05_load_step_DC4,2,180.84,198.81,17.9799999999964
S05_load_step_DC4,2,145.09,165.36,20.279999999996
S05_load_step_DC4,3,97.3,113.78,16.4899999999967
S05_load_step_DC4,3,46.29,76.74,30.4599999999939
S05_load_step_DC4,3,268.06,278.58,10.5299999999979
S05_load_step_DC4,4,124.06,159.16,35.109999999993
S05_load_step_DC4,4,184.07,205.58,21.5199999999957
S05_load_step_DC4,4,248.44,277.3,28.8699999999943
S05_load_step_DC4,4,160.96,197.1,36.1499999999928
S05_load_step_DC4,5,46.16,65.34,19.1899999999962
S05_load_step_DC4,5,118.43,135.52,17.0999999999966
S05_load_step_DC4,5,44.24,82.78,38.5499999999923
S05_load_step_DC5,1,241.04,249.87,8.83999999999824
S05_load_step_DC5,1,78.97,111.31,32.3499999999936
S05_load_step_DC5,1,65.2,85.95,20.7599999999959
S05_load_step_DC5,1,235.14,256.68,21.5499999999957
S05_load_step_DC5,2,241.17,258.87,17.7099999999965
S05_load_step_DC5,2,162.56,196.44,33.8899999999933
S05_load_step_DC5,2,37.18,60.29,23.1199999999954
S05_load_step_DC5,3,223.04,235.06,12.0299999999976
S05_load_step_DC5,3,263.67,286.68,23.0199999999954
S05_load_step_DC5,3,55.78,71.75,15.9799999999968
S05_load_step_DC5,3,35.96,61.93,25.9799999999948
S05_load_step_DC5,4,40.96,70.22,29.2699999999942
S05_load_step_DC5,4,201.19,212.6,11.4199999999977
S05_load_step_DC5,4,227.61,242.46,14.859999999997
S05_load_step_DC5,5,204.69,214.36,9.67999999999807
S05_load_step_DC5,5,22.51,31.39,8.88999999999823
S05_load_step_DC6,1,234.94,272.53,37.5999999999925
S05_load_step_DC6,1,91.99,126.31,34.3299999999932
S05_load_step_DC6,1,234.9,270.51,35.6199999999929
S05_load_step_DC6,1,214.88,247.16,32.2899999999936
S05_load_step_DC6,2,31.2,71.01,39.8199999999921
S05_load_step_DC6,2,179.95,194.91,14.969999999997
S05_load_step_DC6,3,183.71,203.33,19.6299999999961
S05_load_step_DC6,3,270.2,298.27,28.0799999999944
S05_load_step_DC6,4,221.51,257.83,36.3299999999928
S05_load_step_DC6,4,81.39,93.29,11.9099999999976
S05_load_step_DC6,4,82.16,101.58,19.4299999999961
S05_load_step_DC6,5,240.46,274.73,34.2799999999932
S05_load_step_DC6,5,70.71,84.16,13.4599999999973
S05_load_step_DC6,5,50.15,86.76,36.6199999999927
S06_multi_event_DC1,1,185.25,217.02,31.7799999999937
S06_multi_event_DC1,1,38.02,74.78,36.7699999999927
S06_multi_event_DC1,1,271.24,293.59,22.3599999999956
S06_multi_event_DC1,1,133.69,153.81,20.129999999996
S06_multi_event_DC1,2,270.26,283.46,13.2099999999974
S06_multi_event_DC1,2,161.36,174.51,13.1599999999974
S06_multi_event_DC1,2,210.31,231.6,21.2999999999958
S06_multi_event_DC1,2,38.7,58.83,20.139999999996
S06_multi_event_DC1,3,226.44,249.45,23.0199999999954
S06_multi_event_DC1,3,138.28,167.69,29.4199999999941
S06_multi_event_DC1,4,270.57,283.78,13.2199999999974
S06_multi_event_DC1,4,218.62,242.49,23.8799999999952
S06_multi_event_DC1,4,70.46,82.14,11.6899999999977
S06_multi_event_DC1,5,109.16,133.32,24.1699999999952
S06_multi_event_DC1,5,188.64,227.53,38.8999999999923
S06_multi_event_DC1,5,106,119.04,13.0499999999974
S06_multi_event_DC1,5,172.56,189.61,17.0599999999966
S06_multi_event_DC2,1,130.47,168.78,38.3199999999924
S06_multi_event_DC2,1,139.01,153.62,14.6199999999971
S06_multi_event_DC2,2,118.84,140.9,22.0699999999956
